filename,canidate,has_python2_module,has_python3_module,trove_python3
pytest-xdist_1.8-0.1.json,✓,✓,,✓
python-cherrypy_2.3.0-4.json,,✓,,
pisa_3.0.32-2.json,,✓,,
python-phoneutils_0.1+git20100219-1.json,,,,
python-unac_1.7.0-1.json,,,,
python-pam_0.4.2-13.1.json,,✓,,
python-gd_0.58-1.json,,✓,,
python-mechanize_1:0.2.5-3.json,,✓,,
python-flexmock_0.9.7-1.json,,✓,✓,
python-hl7_0.3.2-1.json,✓,✓,,✓
python-django-formfieldset_0+git20090520-621cb58-1.json,,,,
python-csa_0.1.0-1.1.json,,✓,,
python-apsw_3.8.6-r1-1.json,,✓,✓,✓
pysvn_1.7.8-1.json,,✓,,
python-mongoengine_0.6.13-2.json,,✓,,
python-pysnmp4-apps_0.3.2-1.json,✓,✓,,✓
python-async_0.6.1-1.json,,✓,,
pywavelets_0.2.2-2.json,,✓,,
pychm_0.8.4.1-1.json,,✓,,
python-dateutil_2.2-2.json,,✓,✓,✓
python-mock_1.0.1-3.json,,✓,✓,✓
pypy_2.4.0+dfsg-3.json,,✓,,
python-git_0.3.2~RC1-3.json,,✓,,
python-tz_2012c+dfsg-0.1.json,,✓,✓,✓
python-chaco_4.4.1-1.2.json,,✓,,
pyserial_2.6-1.1.json,,✓,✓,✓
python-stdnum_1.0-1.json,,✓,✓,
python-old-doctools_2.5.5-2.1.json,,✓,,
python-keyring_4.0-1.json,,✓,✓,✓
python-pyftpdlib_1.2.0-1.json,✓,✓,,✓
python-box2d_2.0.2+svn20100109.244-1.json,,,,
pyrad_2.0-2.json,✓,✓,,✓
python-pyramid_1.5.1+dfsg-2.json,,✓,✓,✓
pyenchant_1.6.6-2.json,,✓,✓,✓
pymacs_0.25-1.json,,,,
parsedatetime_1.4-1.json,✓,✓,,✓
python-vsgui_0.3.3-1.json,,✓,,
pycryptopp_0.6.0.20120313-1.json,,✓,,
pygments_2.0.1+dfsg-1.1.json,,✓,✓,✓
pylint_1.3.1-3.json,,,,
python-gflags_1.5.1-2.json,,✓,✓,
python-edbus_0.5.0+r49577-1.json,,,,
python-mox_0.5.3-3.json,,✓,,
pystemmer_1.3.0+dfsg-1.json,,✓,✓,✓
python-vobject_0.8.1c-4.json,,,,
python-gvgen_0.9-2.json,,,,
py3dns_3.1.0-1.json,,,✓,✓
pcapy_0.10.8-1.json,,,,
pyqwt3d_0.1.7~cvs20090625-13.json,,✓,,
python-gdata_2.0.18+dfsg1-2.json,,✓,,
python-passfd_0.2-1.json,,✓,,
python-django-piston_0.2.3-2.json,,✓,,
python-roman_2.0.0-1.json,,✓,✓,✓
python-lzma_0.5.3-2.json,,,,
pyentropy_0.4.1-1.json,,✓,,
python-iowait_0.1-1.1.json,✓,,,✓
pylibravatar_1.6-3.json,,✓,✓,✓
pysesame_0.24-4.json,,✓,,
pylogsparser_0.4-1.json,,✓,,
pythontracer_8.10.16-1.1.json,,,,
pyprotocols_1.0a.svn20070625-7.json,,✓,,
python-pymetar_0.19-1.json,,✓,,
python-ipaddr_2.1.11-2.json,,✓,,
python-yubico_1.1.0-2.json,,✓,,
python-networkx_1.9+dfsg1-1.json,,✓,✓,
pygrace_0.4p2-3.json,,✓,,
pyusb_0.4.3-1.json,,✓,,
python-django-debug-toolbar_1:1.2.1-2.json,,✓,✓,✓
python-decorator_3.4.0-2.json,,✓,✓,✓
pygobject_3.14.0-1.json,,✓,✓,
python-trml2pdf_1.2-3.json,,✓,,
python-redis_2.10.3-2.json,,✓,✓,✓
python-fcgi_19980130-1.json,,✓,,
pyhoca-cli_0.5.0.1-1.json,,,,
python-elements_0.13+svn20090823.230+dfsg-2.json,,,,
python-demgengeo_1.0-2.json,,✓,,
python-xmltv_1.3-2.json,,✓,,
pyimport-relative_0.1.0-2.json,,,,
python-cpl_0.6.2-4.json,,✓,,
python-formalchemy_1.4.2-1.json,,✓,,
pywbem_0.8.0~dev650-1.json,,✓,,
python-pysqlite1.1_1.1.8a-8.json,,✓,,
python-pyramid-zcml_1.0.0-1.json,✓,✓,,✓
paste_1.7.5.1-6.json,,✓,✓,
python-mrjob_0.3.3.2-1.json,,✓,,
python-pywcs_1.12-1.json,,✓,,
python-gmpy_1.15-1.json,✓,✓,,✓
python-x2go_0.5.0.1-3.json,,✓,,
python-unshare_0.1-2.json,,✓,,
python-cliapp_1.20140719-1.json,,✓,,
ply_3.4-5.json,,✓,✓,✓
python-slimmer_0.1.30-6.json,,✓,✓,
pyscard_1.6.12.1-5.json,,✓,,
python-lockfile_1:0.8-2.json,✓,,,✓
python-jpype_0.5.4.2-3.json,,✓,,
python-smmap_0.8.2-2.json,,✓,,
python-sunlight_1.1.5-1.json,,✓,✓,
python-django-registration_1.0+dfsg-2.json,,✓,,
python-gtkglext1_1.1.0-9.1.json,,✓,,
python-envisage_4.4.0-1.json,,✓,,
python-greenlet_0.4.0-2.json,✓,✓,,✓
python-greenlet_0.4.5-1.json,,✓,✓,✓
python-greenlet_0.4.2-1.json,,✓,✓,✓
pymtbl_0.2-1.json,,✓,,
pyrex_0.9.8.5-2.1.json,,✓,,
python-openid_2.2.5-6.json,,✓,,
python-whois_0.7-3.json,,✓,✓,✓
python-cddb_1.4-5.1.json,,,,
python-sponge_0.3.1-1.json,,,,
pygooglechart_0.3.0-1.json,,,,
python-torctl_20130920git-2.json,,✓,,
python-nss_0.15.0-1.json,,✓,,
pyshp_1.2.1-1.json,,✓,✓,
python-launchpadlib_1.10.2+ds-2.json,,✓,,
python-tgext.admin_0.2.6-3.json,,✓,,
pysparse_1.1-1.3.json,,✓,,
python-pysnmp4-mibs_0.1.3-1.json,✓,✓,,✓
pyevolve_0.6~rc1+svn398+dfsg-6.json,,✓,,
python-peak.util_20110909-1.json,,✓,,
pebl_1.0.2-2.json,,,,
python-enet_0.0~svn24-1.json,,✓,,
python-wadllib_1.3.2-3.json,,✓,✓,✓
pyfltk_1.3.0-1.json,,✓,,
python-novaclient_2:2.18.1-1.json,,✓,,
